Date,Opponent,Score,Stadium,City
4/11/2016,JuventusJUVENTUS (1-0-0),L 0 - 3,Juventus StadiumItaly,Other
4/19/2016,JuventusJUVENTUS (1-1-0),D 0 - 0,Camp NouSpain,Barcelona
8/20/2016,BetisBETIS (0-0-1),W 6 - 2,Camp NouSpain,Barcelona
8/28/2016,AthleticATHLETIC (0-0-2),W 1 - 0,San MamésSpain,Other
9/10/2016,AlavésALAVÉS (1-2-0),L 1 - 2,Camp NouSpain,Barcelona
9/13/2016,CelticCELTIC (0-0-1),W 7 - 0,Camp NouSpain,Barcelona
9/17/2016,LeganesLEGANES (1-1-2),W 5 - 1,ButarqueSpain,Other
9/21/2016,Atlético MadridATLÉTICO MADRID (2-3-0),D 1 - 1,Camp NouSpain,Barcelona
9/24/2016,Sporting GijónSPORTING DE GIJÓN (2-1-3),W 5 - 0,"El MolinónGijon, Spain",Other
9/28/2016,B. M'gladbachMÖNCHENGLADBACH (0-0-2),W 2 - 1,"Borussia-ParkMönchengladbach, Germany",Other
10/2/2016,Celta VigoCELTA VIGO (3-1-3),L 3 - 4,BalaídosSpain,Other
10/15/2016,DeportivoDEPORTIVO (2-2-4),W 4 - 0,Camp NouSpain,Barcelona
10/19/2016,Man. CityMANCHESTER CITY (1-1-1),W 4 - 0,Camp NouSpain,Barcelona
10/22/2016,ValenciaVALENCIA (3-0-6),W 3 - 2,MestallaSpain,Other
10/29/2016,GranadaGRANADA (0-3-7),W 1 - 0,Camp NouSpain,Barcelona
11/1/2016,Man. CityMANCHESTER CITY (2-1-1),L 1 - 3,"Etihad StadiumManchester, England",Other
11/6/2016,SevillaSEVILLA (6-3-2),W 2 - 1,Ramon Sanchez PizjuanSpain,Other
11/19/2016,MálagaMÁLAGA (4-4-4),D 0 - 0,Camp NouSpain,Barcelona
11/23/2016,CelticCELTIC (0-2-3),W 2 - 0,"Celtic ParkGlasgow, Scotland",Other
11/27/2016,Real SociedadREAL SOCIEDAD (7-2-4),D 1 - 1,AnoetaSpain,Other
12/3/2016,Real MadridREAL MADRID (10-4-0),D 1 - 1,Camp NouSpain,Barcelona
12/6/2016,B. M'gladbachMÖNCHENGLADBACH (1-2-3),W 4 - 0,Camp NouSpain,Barcelona
12/10/2016,OsasunaOSASUNA (1-4-10),W 3 - 0,El SadarSpain,Other
12/18/2016,EspanyolESPANYOL (5-7-4),W 4 - 1,Camp NouSpain,Barcelona
1/8/2017,VillarrealVILLARREAL (8-6-3),D 1 - 1,Estadio de la CeramicaSpain,Other
1/14/2017,Las PalmasLAS PALMAS (6-6-6),W 5 - 0,Camp NouSpain,Barcelona
1/22/2017,EibarEIBAR (7-5-7),W 4 - 0,Municipal de IpuruaSpain,Other
1/29/2017,BetisBETIS (6-5-9),D 1 - 1,Benito VillamarínSpain,Other
2/4/2017,AthleticATHLETIC (9-5-7),W 3 - 0,Camp NouSpain,Barcelona
2/11/2017,AlavésALAVÉS (6-9-7),W 6 - 0,MendizorrozaSpain,Other
2/14/2017,Paris SGPARIS SG (1-0-0),L 0 - 4,"Parc des PrincesParis, France",Other
2/19/2017,LeganesLEGANES (4-6-13),W 2 - 1,Camp NouSpain,Barcelona
2/26/2017,Atlético MadridATLÉTICO MADRID (13-6-5),W 2 - 1,Vicente CalderonSpain,Other
3/1/2017,Sporting GijónSPORTING DE GIJÓN (4-5-16),W 6 - 1,Camp NouSpain,Barcelona
3/4/2017,Celta VigoCELTA VIGO (10-5-10),W 5 - 0,Camp NouSpain,Barcelona
3/8/2017,Paris SGPARIS SG (1-0-1),W 6 - 1,Camp NouSpain,Barcelona
3/12/2017,DeportivoDEPORTIVO (6-9-12),L 1 - 2,RiazorSpain,Other
3/19/2017,ValenciaVALENCIA (8-6-14),W 4 - 2,Camp NouSpain,Barcelona
4/2/2017,GranadaGRANADA (4-7-18),W 4 - 1,"Los CármenesGranada, Spain",Other
4/5/2017,SevillaSEVILLA (17-7-6),W 3 - 0,Camp NouSpain,Barcelona
4/8/2017,MálagaMÁLAGA (8-9-14),L 0 - 2,La RosaledaSpain,Other
4/15/2017,Real SociedadREAL SOCIEDAD (16-4-12),W 3 - 2,Camp NouSpain,Barcelona
4/23/2017,Real MadridREAL MADRID (23-6-3),W 3 - 2,Santiago BernabéuSpain,Other
4/26/2017,OsasunaOSASUNA (3-9-22),W 7 - 1,Camp NouSpain,Barcelona
4/29/2017,EspanyolESPANYOL (13-11-11),W 3 - 0,RCDE StadiumSpain,Barcelona
5/6/2017,VillarrealVILLARREAL (18-9-9),W 4 - 1,Camp NouSpain,Barcelona
5/14/2017,Las PalmasLAS PALMAS (10-9-18),W 4 - 1,Gran CanariaSpain,Other
5/21/2017,EibarEIBAR (15-9-14),W 4 - 2,Camp NouSpain,Barcelona
8/20/2017,BetisBETIS (0-0-1),W 2 - 0,Camp NouSpain,Barcelona
8/26/2017,AlavésALAVÉS (0-0-2),W 2 - 0,MendizorrozaSpain,Other
9/9/2017,EspanyolESPANYOL (0-1-2),W 5 - 0,Camp NouSpain,Barcelona
9/12/2017,JuventusJUVENTUS (0-0-1),W 3 - 0,Camp NouSpain,Barcelona
9/16/2017,GetafeGETAFE (1-1-2),W 2 - 1,Coliseum Alfonso PerezSpain,Other
9/19/2017,EibarEIBAR (2-0-3),W 6 - 1,Camp NouSpain,Barcelona
9/23/2017,GironaGIRONA (1-2-3),W 3 - 0,MontiliviSpain,Other
9/27/2017,Sporting CPSPORTING CP (1-0-1),W 1 - 0,"Jose AlvaladeLisbon, Portugal",Other
10/1/2017,Las PalmasLAS PALMAS (2-0-5),W 3 - 0,Camp NouSpain,Barcelona
10/14/2017,Atlético MadridATLÉTICO MADRID (4-4-0),D 1 - 1,Wanda MetropolitanoSpain,Other
10/18/2017,OlympiacosOLYMPIACOS (0-0-3),W 3 - 1,Camp NouSpain,Barcelona
10/21/2017,MálagaMÁLAGA (0-1-8),W 2 - 0,Camp NouSpain,Barcelona
10/28/2017,AthleticATHLETIC (3-2-5),W 2 - 0,San MamésSpain,Other
10/31/2017,OlympiacosOLYMPIACOS (0-1-3),D 0 - 0,"Karaiskakis StadiumPireas, Greece",Other
11/4/2017,SevillaSEVILLA (6-1-4),W 2 - 1,Camp NouSpain,Barcelona
11/18/2017,LeganesLEGANÉS (5-2-5),W 3 - 0,ButarqueSpain,Other
11/22/2017,JuventusJUVENTUS (2-2-1),D 0 - 0,Allianz StadiumItaly,Other
11/26/2017,ValenciaVALÈNCIA (9-4-0),D 1 - 1,MestallaSpain,Other
12/2/2017,Celta VigoCELTA VIGO (5-3-6),D 2 - 2,Camp NouSpain,Barcelona
12/5/2017,Sporting CPSPORTING CP (2-1-3),W 2 - 0,Camp NouSpain,Barcelona
12/10/2017,VillarrealVILLARREAL (6-3-6),W 2 - 0,Estadio de la CerámicaSpain,Other
12/17/2017,DeportivoDEPORTIVO (4-3-9),W 4 - 0,Camp NouSpain,Barcelona
12/23/2017,Real MadridREAL MADRID (9-4-3),W 3 - 0,Santiago BernabéuSpain,Other
1/7/2018,LevanteLEVANTE (3-9-6),W 3 - 0,Camp NouSpain,Barcelona
1/14/2018,Real SociedadREAL SOCIEDAD (6-5-8),W 4 - 2,AnoetaSpain,Other
1/21/2018,BetisBETIS (8-3-9),W 5 - 0,Benito VillamarínSpain,Other
1/28/2018,AlavésALAVÉS (6-1-14),W 2 - 1,Camp NouSpain,Barcelona
2/4/2018,EspanyolESPANYOL (6-7-9),D 1 - 1,RCDE StadiumSpain,Barcelona
2/11/2018,GetafeGETAFE (7-9-7),D 0 - 0,Camp NouSpain,Barcelona
2/17/2018,EibarEIBAR (10-5-9),W 2 - 0,Municipal de IpuruaSpain,Other
2/20/2018,ChelseaCHELSEA (0-1-0),D 1 - 1,"Stamford BridgeLondon, England",Other
2/24/2018,GironaGIRONA (9-7-9),W 6 - 1,Camp NouSpain,Barcelona
